ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
39,0,1,39:0:1,-3.64287,[H]OC1([H])C(=O)C2(C([H])([H])[H])C(O[H])(C(=O)C([H])([H])OC([H])([H])[H])C([H])=C([H])C2(O[H])C23OC4(OC([H])([H])[H])C(=C([H])OC4([H])C([H])(O[H])C([H])([H])[H])C4([H])C([H])([H])OC(=O)C2(C2([H])C([H])=C([H])C([H])(O[H])C2(C([H])([H])[H])C([H])([H])S(=O)C13[H])C1(OC4([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],False
39,0,2,39:0:2,-2.96531,[H]OC1([H])C(=O)C2(C([H])([H])[H])C(O[H])(C(=O)C([H])([H])OC([H])([H])[H])C([H])=C([H])C2(O[H])C23OC4(OC([H])([H])[H])C(=C([H])OC4([H])C([H])(O[H])C([H])([H])[H])C4([H])C([H])([H])OC(=O)C2(C2([H])C([H])=C([H])C([H])(O[H])C2(C([H])([H])[H])C([H])([H])S(=O)C13[H])C1(OC4([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],False
41,0,0,41:0:0,-1.2573,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],True
41,0,1,41:0:1,-0.524535,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],False
41,1,0,41:1:0,-3.47564,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],True
41,1,1,41:1:1,-3.28008,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],False
41,1,2,41:1:2,-2.7174,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],False
41,2,0,41:2:0,-3.44869,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],True
41,2,1,41:2:1,-3.36194,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],False
41,2,2,41:2:2,-3.18609,[H]OC1([H])S(=O)C2([H])C3(OC3([H])[H])C([H])=C([H])C3(C([H])([H])[H])C([H])(O[H])C4(O[H])OC4(C([H])([H])[H])C([H])([H])C4(O[H])C(=C([H])[H])C(=O)OC4(C(=C([H])[H])C([H])([H])[H])C([H])([H])C4(C([H])([H])[H])C3(O[H])C3(C([H])([H])[H])OC1(C([H])([H])[H])C(O[H])(C3=O)C1([H])OC(=O)C2(C([H])(O[H])C([H])(O[H])C2(O[H])C(=C([H])[H])C(=O)C12O[H])C4(C([H])([H])[H])C([H])([H])[H],False
