ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
22,1,1,22:1:1,-2.93418,[H]c1nc2c(OC([H])([H])C3(N([H])[H])C([H])([H])C3([H])[H])c([H])c(OS(=O)(=O)C([H])([H])[H])c([H])c2c([H])c1[H],False
22,1,2,22:1:2,-2.64937,[H]c1nc2c(OC([H])([H])C3(N([H])[H])C([H])([H])C3([H])[H])c([H])c(OS(=O)(=O)C([H])([H])[H])c([H])c2c([H])c1[H],False
23,0,0,23:0:0,-3.91044,[H]c1nc(C(=O)N([H])C2([H])C([H])([H])Oc3c([H])c([H])nn3C2([H])[H])c([H])s1,True
23,0,1,23:0:1,-3.41273,[H]c1nc(C(=O)N([H])C2([H])C([H])([H])Oc3c([H])c([H])nn3C2([H])[H])c([H])s1,False
23,0,2,23:0:2,-3.29981,[H]c1nc(C(=O)N([H])C2([H])C([H])([H])Oc3c([H])c([H])nn3C2([H])[H])c([H])s1,False
24,0,0,24:0:0,-4.05214,[H]c1nc([H])c([H])c(C(=O)N([H])C2([H])C(=O)N3C2([H])C([H])([H])S(=O)(=O)C3([H])C(=O)OC([H])([H])[H])c1[H],True
24,0,1,24:0:1,-3.45855,[H]c1nc([H])c([H])c(C(=O)N([H])C2([H])C(=O)N3C2([H])C([H])([H])S(=O)(=O)C3([H])C(=O)OC([H])([H])[H])c1[H],False
24,0,2,24:0:2,-3.20425,[H]c1nc([H])c([H])c(C(=O)N([H])C2([H])C(=O)N3C2([H])C([H])([H])S(=O)(=O)C3([H])C(=O)OC([H])([H])[H])c1[H],False
25,1,0,25:1:0,-2.83945,[H]C([H])([H])OC(=O)C1=C(c2snnc2C([H])([H])[H])C([H])([H])C2([H])C([H])([H])C1([H])[N+]([H])(C1([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],True
25,1,1,25:1:1,-2.62511,[H]C([H])([H])OC(=O)C1=C(c2snnc2C([H])([H])[H])C([H])([H])C2([H])C([H])([H])C1([H])[N+]([H])(C1([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],False
25,1,2,25:1:2,-2.08462,[H]C([H])([H])OC(=O)C1=C(c2snnc2C([H])([H])[H])C([H])([H])C2([H])C([H])([H])C1([H])[N+]([H])(C1([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],False
26,0,0,26:0:0,-2.60509,[H]c1c([H])c2c3c(c1N([H])[H])Oc1c(n([H])c4c([H])c([H])c([H])c([H])c14)C([H])(C([H])([H])[H])C([H])([H])OC3([H])OC2([H])[H],True
26,0,1,26:0:1,-2.58821,[H]c1c([H])c2c3c(c1N([H])[H])Oc1c(n([H])c4c([H])c([H])c([H])c([H])c14)C([H])(C([H])([H])[H])C([H])([H])OC3([H])OC2([H])[H],False
26,0,2,26:0:2,-2.43764,[H]c1c([H])c2c3c(c1N([H])[H])Oc1c(n([H])c4c([H])c([H])c([H])c([H])c14)C([H])(C([H])([H])[H])C([H])([H])OC3([H])OC2([H])[H],False
27,0,0,27:0:0,-3.13624,[H]c1c2c(c([H])c3oc(C([H])([H])[H])nc13)C(=O)C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[N+]1([H])C1(C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],True
27,0,1,27:0:1,-2.90422,[H]c1c2c(c([H])c3oc(C([H])([H])[H])nc13)C(=O)C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[N+]1([H])C1(C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],False
27,0,2,27:0:2,-2.81541,[H]c1c2c(c([H])c3oc(C([H])([H])[H])nc13)C(=O)C1([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[N+]1([H])C1(C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],False
27,1,0,27:1:0,-3.48631,[H]c1c2c(c([H])c3oc(C([H])([H])[H])nc13)C(=O)C1([H])N(C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C1(C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],True
27,1,1,27:1:1,-3.43655,[H]c1c2c(c([H])c3oc(C([H])([H])[H])nc13)C(=O)C1([H])N(C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C1(C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],False
27,1,2,27:1:2,-3.31427,[H]c1c2c(c([H])c3oc(C([H])([H])[H])nc13)C(=O)C1([H])N(C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C1(C2([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],False
28,0,0,28:0:0,-5.80126,[H]c1c([H])c([H])c2c(c(N([H])[H])nn2[H])c1C([H])([H])[H],True
28,0,1,28:0:1,-4.14469,[H]c1c([H])c([H])c2c(c(N([H])[H])nn2[H])c1C([H])([H])[H],False
28,0,2,28:0:2,-3.71477,[H]c1c([H])c([H])c2c(c(N([H])[H])nn2[H])c1C([H])([H])[H],False
29,0,0,29:0:0,-3.40407,[H]OC1([H])C2([H])C(=C([H])[H])C(=O)C1(O[H])C1([H])C([H])([H])C(=O)OC([H])(c3c([H])oc([H])c3[H])C1(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C2([H])[H],True
29,0,1,29:0:1,-3.04791,[H]OC1([H])C2([H])C(=C([H])[H])C(=O)C1(O[H])C1([H])C([H])([H])C(=O)OC([H])(c3c([H])oc([H])c3[H])C1(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C2([H])[H],False
29,0,2,29:0:2,-3.04236,[H]OC1([H])C2([H])C(=C([H])[H])C(=O)C1(O[H])C1([H])C([H])([H])C(=O)OC([H])(c3c([H])oc([H])c3[H])C1(C([H])([H])[H])C([H])(OC(=O)C([H])([H])[H])C2([H])[H],False
